Variable	Table_Name	Unit	Sensor
Fe	tblPisces_NRT	mmol/m^3	Blend
PP	tblPisces_NRT	g/m^3/day	Blend
Si	tblPisces_NRT	umol/L	Blend
NO3	tblPisces_NRT	mmol/m^3	Blend
CHL	tblPisces_NRT	mg/m^3	Blend
PHYC	tblPisces_NRT	mmol/m^3	Blend
PO4	tblPisces_NRT	mmol/m^3	Blend
O2	tblPisces_NRT	mmol/m^3	Blend
DIC_darwin_clim	tblDarwin_Nutrient_Climatology	mmol C/	Blend
NH4_darwin_clim	tblDarwin_Nutrient_Climatology	mmol N/	Blend
NO2_darwin_clim	tblDarwin_Nutrient_Climatology	mmol N/	Blend
NO3_darwin_clim	tblDarwin_Nutrient_Climatology	mmol N/	Blend
PO4_darwin_clim	tblDarwin_Nutrient_Climatology	mmol P/	Blend
SiO2_darwin_clim	tblDarwin_Nutrient_Climatology	mmol Si	Blend
FeT_darwin_clim	tblDarwin_Nutrient_Climatology	mmol Fe	Blend
DOC_darwin_clim	tblDarwin_Nutrient_Climatology	mmol C/	Blend
DON_darwin_clim	tblDarwin_Nutrient_Climatology	mmol N/	Blend
DOP_darwin_clim	tblDarwin_Nutrient_Climatology	mmol P/	Blend
DOFe_darwin_clim	tblDarwin_Nutrient_Climatology	mmol Fe	Blend
POC_darwin_clim	tblDarwin_Nutrient_Climatology	mmol C/	Blend
PON_darwin_clim	tblDarwin_Nutrient_Climatology	mmol N/	Blend
POSi_darwin_clim	tblDarwin_Nutrient_Climatology	mmol Si	Blend
POFe_darwin_clim	tblDarwin_Nutrient_Climatology	mmol Fe	Blend
PIC_darwin_clim	tblDarwin_Nutrient_Climatology	mmol C/	Blend
ALK_darwin_clim	tblDarwin_Nutrient_Climatology	mmol eq	Blend
O2_darwin_clim	tblDarwin_Nutrient_Climatology	mmol O/	Blend
CDOM_darwin_clim	tblDarwin_Nutrient_Climatology	mmol C/	Blend
prokaryote_c01_darwin_clim	tblDarwin_Plankton_Climatology	mmol C/	Blend
