biosample	project	cruise_name	cruise_id	station	bottle_id	depth_m	latitude_degrees_north	longitude_degrees_east	sample_date	longhurst_province
SWC-01	CMORE	BIGRAPA	MV1015	1	100100213	20	−20.08	−70.8	11/19/2010	CHIL
SWC-02	CMORE	BIGRAPA	MV1015	1	100100203	55	−20.08	−70.8	11/19/2010	CHIL
SWC-03	CMORE	BIGRAPA	MV1015	4	100402922	14	−23.46	−88.77	11/29/2010	SPSG
SWC-04	CMORE	BIGRAPA	MV1015	4	100402914	112	−23.46	−88.77	11/29/2010	SPSG
SWC-05	CMORE	BIGRAPA	MV1015	7	100705722	14	−26.25	−103.96	12/8/2010	SPSG
SWC-06	CMORE	BIGRAPA	MV1015	7	100705705	180	−26.25	−103.96	12/8/2010	SPSG
SWC-07	HOT	HOT214	KM0920	ALOHA	2140201221	5	23.75	−158	8/19/2009	NPTG
SWC-08	HOT	HOT216	KOK0917	ALOHA	2160201214	100	23.75	−158	11/4/2009	NPTG
SWC-09	BATS	BATS248	AE0916	BATS	1024800403	10	31.07	−64.17	7/14/2009	NASW
SWC-10	BATS	BATS252	AE0926	BATS	1025200410	100	31.07	−64.17	11/7/2009	NASW
SWC-11	GEOTRACES	GA02(L1)	PE319	16	632891	8	36.2	−53.31	5/20/2010	NASW
SWC-12	GEOTRACES	GA02(L2)	PE321	25	633233	119	24.71	−67.07	6/17/2010	NATR
SWC-13	GEOTRACES	GA02(L2)	PE321	35	634604	100	9.55	−50.47	6/28/2010	NATR
SWC-14	GEOTRACES	GA03(L1)	KN199	7	841892	57.7	24	−22	10/24/2010	NATR
SWC-15	GEOTRACES	GA03(L2)	KN204	4	844349	90.8	38.32	−68.87	11/12/2011	GFST
SWC-16	GEOTRACES	GA03(L2)	KN204	16	845948	89.9	26.14	−44.83	11/30/2011	NASW
SWC-17	GEOTRACES	GA03(L2)	KN204	20	846242	99.7	22.33	−35.87	12/4/2011	NATR
SWC-18	GEOTRACES	GA03(L2)	KN204	24	846716	71.6	17.4	−24.5	12/10/2011	NATR
SWC-19	GEOTRACES	GA10(L1)	D357	9	237839	21.2	−34.98	16.02	11/10/2010	EAFR
SWC-20	GEOTRACES	GP13(L1)	SS2011	4	1223543	50.6	−30	156	5/16/2011	AUSE
SWC-21	GEOTRACES	GP13(L1)	SS2011	22	1222400	50.4	−30	174	5/24/2011	ARCH
SWC-22	GEOTRACES	GP13(L1)	SS2011	38	1224245	76	−32.5	−170	5/31/2011	SPSG
SWC-23	GEOTRACES	GP13(L2)	TAN1109	GT3	1153793	203	−32.5	−170	6/11/2011	SPSG
SWC-24	GEOTRACES	GP13(L2)	TAN1109	GT19	1156283	100	−32.5	−154	6/20/2011	SPSG
SWC-26	SCOPE	GRADIENTS(1.0)	KOK1606	4	10400223	5	28.14	−158	4/22/2016	NPTG
SWC-27	SCOPE	GRADIENTS(1.0)	KOK1606	4	10400206	90	28.14	−158	4/22/2016	NPTG
SWC-28	SCOPE	GRADIENTS(1.0)	KOK1606	6	10600223	5	32.7	−158	4/24/2016	NPPF
SWC-29	SCOPE	GRADIENTS(1.0)	KOK1606	6	10600207	60	32.7	−158	4/24/2016	NPPF
SWC-30	SCOPE	GRADIENTS(1.0)	KOK1606	9	10900223	5	36.57	−158	4/27/2016	NPPF
SWC-31	SCOPE	GRADIENTS(1.0)	KOK1606	9	10900207	65	36.57	−158	4/27/2016	NPPF
