local_identifier	row_number	parameter	description	method	pi
tara_barcode_num	1	Sample ID	TARA_barcode_num	registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)	Pesant
biosample_acc_num	2	Sample ID	BioSamples accession number (SAMEA_num)	registered at the BioSamples database (http://www.ebi.ac.uk/biosamples/)	Pesant
ena_acc_num	3	Sample ID	ENA sample accession number (ERS_num)	registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/)	Pesant
tara_station	4	Station label	TARA_station_num	registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)	Pesant
tara_event	5	Event label	TARA_event-datetime_station_num_event-type	registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)	Pesant
env_ontology	6	Environmental feature	[abbreviation], full name (ENVO:ID) from which this sample was collected	terms registered at EnvO, the Environmental Ontology (http://environmentontology.org/)	Pesant
depth	7	Depth, nominal	from which this sample was collected	NA	Pesant
depth_min	8	Depth, top/min	from which this sample was collected	NA	Pesant
depth_max	9	Depth, bottom/max	from which this sample was collected	NA	Pesant
size_frac_low	10	Size fraction, lower threshold	used on board to prepare samples	described in (Pesant et al. 2017)	Pesant
size_frac_high	11	Size fraction, upper threshold	used on board to prepare samples	described in (Pesant et al. 2017)	Pesant
tara_id01	12	Sample material	TARA_station_num_environmental-feature_size-fraction	NA	Pesant
tara_id02	13	Sample method	short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)	described in (Pesant et al. 2017)	Pesant
tara_id03	14	Sample code/label	TARA_event-datetime_station_num_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode	NA	Pesant
PANGAEA.875569_015	15	Distance	interval between the location at which the sample was collected and that of the closest environmental context information	NA	Guidi
PANGAEA.875569_016	16	Duration	interval between the date/time at which the sample was collected and that of the closest environmental context information	ISO 8601	Guidi
PANGAEA.875569_017	17	File name	of sensor profiles that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days	NA	Guidi
PANGAEA.875569_018	18	Number of observations	that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days	NA	Guidi
PANGAEA.875569_019	19	Chlorophyll c3	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_020	20	Chlorophyll c3	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_021	21	Chlorophyll c3	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_022	22	Chlorophyll c3	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_023	23	Chlorophyll c3	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_024	24	Chlorophyll c1+c2	minimum value in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2	calculated from measurements on water samples	Guidi
PANGAEA.875569_025	25	Chlorophyll c1+c2	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2	calculated from measurements on water samples	Guidi
PANGAEA.875569_026	26	Chlorophyll c1+c2	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2	calculated from measurements on water samples	Guidi
PANGAEA.875569_027	27	Chlorophyll c1+c2	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2	calculated from measurements on water samples	Guidi
PANGAEA.875569_028	28	Chlorophyll c1+c2	maximum value in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2	calculated from measurements on water samples	Guidi
PANGAEA.875569_029	29	Chlorophyllide a	minimum value in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_030	30	Chlorophyllide a	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_031	31	Chlorophyllide a	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_032	32	Chlorophyllide a	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_033	33	Chlorophyllide a	maximum value in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_034	34	Peridinin	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_035	35	Peridinin	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
