sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_barcode_num	tara_station
ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	TARA_Y200000001	TARA_003
ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	TARA_X000000410	TARA_004
ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	TARA_X000000323	TARA_004
ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	TARA_X000000408	TARA_004
ERS487956	SAMEA2619419	ERR868437	ERX948025	PRJEB4352	TARA_X000000408	TARA_004
ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	TARA_X000000410	TARA_004
ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	TARA_X000000325	TARA_004
ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	TARA_X000000357	TARA_004
ERS487956	SAMEA2619419	ERR868510	ERX947959	PRJEB4352	TARA_X000000408	TARA_004
ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	TARA_Y200000002	TARA_004
ERS487936	SAMEA2619399	ERR598950	ERX556067	PRJEB1787	TARA_X000000368	TARA_004
ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	TARA_X000000263	TARA_004
ERS487936	SAMEA2619399	ERR599095	ERX555913	PRJEB1787	TARA_X000000368	TARA_004
ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	TARA_X000000263	TARA_004
ERS487990	SAMEA2730820	ERR4691726	ERX4612835	PRJEB4352	TARA_X000000521	TARA_005
ERS487994	SAMEA2730824	ERR1726936	ERX1796710	PRJEB4352	TARA_X000000525	TARA_005
ERS488005	SAMEA2619456	ERR868373	ERX947972	PRJEB4352	TARA_X000000567	TARA_005
ERS487982	SAMEA2619443	ERR868497	ERX947980	PRJEB4352	TARA_X000000488	TARA_005
ERS488033	SAMEA2730531	ERR1726887	ERX1796647	PRJEB4352	TARA_X000000655	TARA_006
ERS488029	SAMEA2730491	ERR1726612	ERX1796564	PRJEB4352	TARA_X000000659	TARA_006
ERS488021	SAMEA2619468	ERR868389	ERX948076	PRJEB4352	TARA_X000000609	TARA_006
ERS488048	SAMEA2619486	ERR868448	ERX948069	PRJEB4352	TARA_X000000706	TARA_006
ERS488022	SAMEA2619469	ERR4691723	ERX4612832	PRJEB4352	TARA_X000000610	TARA_006
ERS488020	SAMEA2619467	ERR868431	ERX948016	PRJEB4352	TARA_X000000608	TARA_006
ERS488017	SAMEA2619464	ERR164413	ERX140302	PRJEB1788	TARA_X000000604	TARA_006
ERS327852	SAMEA2189665	ERR315673	ERX288843	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315675	ERX288838	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315680	ERX288822	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315681	ERX288837	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315682	ERX288827	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315684	ERX288833	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315685	ERX288839	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315693	ERX288821	PRJEB4352	TARA_A200000120	TARA_007
ERS327852	SAMEA2189665	ERR315827	ERX288967	PRJEB4352	TARA_A200000120	TARA_007
ERS327853	SAMEA2189666	ERR315695	ERX288835	PRJEB4352	TARA_A200000144	TARA_007
ERS327853	SAMEA2189666	ERR315799	ERX288971	PRJEB4352	TARA_A200000144	TARA_007
ERS327853	SAMEA2189666	ERR315804	ERX288970	PRJEB4352	TARA_A200000144	TARA_007
ERS327853	SAMEA2189666	ERR315806	ERX288957	PRJEB4352	TARA_A200000144	TARA_007
ERS327853	SAMEA2189666	ERR315816	ERX288974	PRJEB4352	TARA_A200000144	TARA_007
ERS327853	SAMEA2189666	ERR315818	ERX288946	PRJEB4352	TARA_A200000144	TARA_007
ERS327854	SAMEA2189667	ERR315679	ERX288831	PRJEB4352	TARA_A200000099	TARA_007
ERS327854	SAMEA2189667	ERR315683	ERX288829	PRJEB4352	TARA_A200000099	TARA_007
ERS327854	SAMEA2189667	ERR315692	ERX288830	PRJEB4352	TARA_A200000099	TARA_007
ERS327854	SAMEA2189667	ERR315809	ERX288952	PRJEB4352	TARA_A200000099	TARA_007
ERS327855	SAMEA2189668	ERR315687	ERX288832	PRJEB4352	TARA_A200000071	TARA_007
ERS327855	SAMEA2189668	ERR315808	ERX288963	PRJEB4352	TARA_A200000071	TARA_007
ERS327856	SAMEA2189669	ERR315689	ERX288825	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315690	ERX288824	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315694	ERX288828	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315807	ERX288960	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315810	ERX288953	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315813	ERX288955	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315819	ERX288972	PRJEB4352	TARA_A200000175	TARA_007
ERS327856	SAMEA2189669	ERR315826	ERX288948	PRJEB4352	TARA_A200000175	TARA_007
ERS327857	SAMEA2189670	ERR315676	ERX288841	PRJEB4352	TARA_A200000091	TARA_007
