tara_station,lat_cm,latitude,lon_cm,longitude,depth,date_time,dist_diff_km
TARA_003,36.75,36.672,-10.25,-10.421,9,2009-09-13,17.557456697894136
TARA_004,36.75,36.563,-6.75,-6.553,9,2009-09-15,27.25516328352953
TARA_004,36.75,36.563,-6.75,-6.553,40,2009-09-15,27.25516328352953
TARA_005,36.25,36.03,-4.25,-4.405,9,2009-09-20,28.17694846058984
TARA_005,36.25,36.03,-4.25,-4.405,68,2009-09-20,28.17694846058984
TARA_006,36.75,36.529,-4.25,-4.251,9,2009-09-21,24.6017696219309
TARA_006,36.75,36.529,-4.25,-4.251,35,2009-09-21,24.6017696219309
TARA_007,37.25,37.031,1.75,1.948,9,2009-09-23,30.050794135029577
TARA_007,37.25,37.031,1.75,1.948,42,2009-09-23,30.050794135029577
TARA_008,38.25,38.011,3.75,3.966,9,2009-09-27,32.643243245992906
TARA_008,38.25,38.011,3.75,3.966,45,2009-09-27,32.643243245992906
TARA_008,38.25,38.011,3.75,3.966,41,2009-09-27,32.643243245992906
TARA_009,39.25,39.112,5.75,5.819,9,2009-09-28,16.475550963236884
TARA_009,39.25,39.112,5.75,5.819,55,2009-09-28,16.475550963236884
TARA_009,39.25,39.112,5.75,5.819,60,2009-09-28,16.475550963236884
TARA_010,40.75,40.668,2.75,2.865,9,2009-09-30,13.322689091375318
TARA_010,40.75,40.668,2.75,2.865,70,2009-09-30,13.322689091375318
TARA_010,40.75,40.668,2.75,2.865,110,2009-09-30,13.322689091375318
TARA_011,41.25,41.666,2.75,2.798,9,2009-10-04,46.48172639800735
TARA_012,43.25,43.348,7.75,7.899,5,2009-10-11,16.27063117746532
TARA_012,43.25,43.348,7.75,7.899,50,2009-10-11,16.27063117746532
TARA_014,39.75,39.902,12.75,12.858,5,2009-10-20,19.27582019721724
TARA_016,37.25,37.398,15.25,15.454,5,2009-10-27,24.444916954993364
TARA_016,37.25,37.398,15.25,15.454,65,2009-10-27,24.444916954993364
TARA_017,36.25,36.258,14.25,14.306,5,2009-10-28,5.105303876882463
TARA_017,36.25,36.258,14.25,14.306,90,2009-10-28,5.105303876882463
TARA_018,35.75,35.756,14.25,14.287,5,2009-11-02,3.408680328834799
TARA_018,35.75,35.756,14.25,14.287,60,2009-11-02,3.408680328834799
TARA_018,35.75,35.756,14.25,14.287,80,2009-11-02,3.408680328834799
TARA_019,34.25,34.215,13.75,13.865,5,2009-11-11,11.278343181647195
TARA_019,34.25,34.215,13.75,13.865,50,2009-11-11,11.278343181647195
TARA_020,34.25,34.451,14.75,14.973,5,2009-11-12,30.342895535448097
TARA_021,37.75,37.511,17.25,17.285,5,2009-11-15,26.783693155702572
TARA_021,37.75,37.511,17.25,17.285,250,2009-11-15,26.783693155702572
TARA_022,39.75,39.729,17.25,17.4,5,2009-11-16,13.051088866158146
TARA_022,39.75,39.729,17.25,17.4,30,2009-11-16,13.051088866158146
TARA_022,39.75,39.729,17.25,17.4,60,2009-11-16,13.051088866158146
TARA_023,42.25,42.176,17.75,17.729,5,2009-11-18,8.417636099978292
TARA_023,42.25,42.176,17.75,17.729,50,2009-11-18,8.417636099978292
TARA_023,42.25,42.176,17.75,17.729,55,2009-11-18,8.417636099978292
TARA_024,42.25,42.457,17.75,17.956,5,2009-11-21,28.603745919814155
TARA_025,39.25,39.333,19.25,19.421,5,2009-11-23,17.389938427031463
TARA_025,39.25,39.333,19.25,19.421,50,2009-11-23,17.389938427031463
TARA_026,38.25,38.431,20.25,20.188,5,2009-11-24,20.863354540052576
TARA_030,33.75,33.929,32.75,32.789,5,2009-12-15,20.249848346162572
TARA_030,33.75,33.929,32.75,32.789,70,2009-12-15,20.249848346162572
TARA_031,27.25,27.151,34.75,34.819,5,2010-01-09,12.966311640000688
TARA_032,23.25,23.391,37.25,37.254,5,2010-01-11,15.70137347373658
TARA_032,23.25,23.391,37.25,37.254,80,2010-01-11,15.70137347373658
TARA_033,22.25,22.057,38.25,38.218,5,2010-01-13,21.73650663155409
TARA_034,18.25,18.445,39.75,39.884,5,2010-01-20,25.916599618688206
TARA_034,18.25,18.445,39.75,39.884,60,2010-01-20,25.916599618688206
TARA_036,20.75,20.824,63.75,63.525,5,2010-03-12,24.823184995003214
TARA_036,20.75,20.824,63.75,63.525,17,2010-03-12,24.823184995003214
TARA_036,20.75,20.824,63.75,63.525,20,2010-03-12,24.823184995003214
TARA_037,20.75,20.828,63.75,63.6,600,2010-03-12,17.863081142162205
TARA_038,19.25,19.017,64.75,64.576,5,2010-03-15,31.743098501957842
TARA_038,19.25,19.017,64.75,64.576,25,2010-03-15,31.743098501957842
TARA_038,19.25,19.017,64.75,64.576,340,2010-03-15,31.743098501957842
TARA_039,18.75,18.647,66.25,66.463,5,2010-03-18,25.217022279532586
TARA_039,18.75,18.647,66.25,66.463,2,2010-03-18,25.217022279532586
TARA_039,18.75,18.647,66.25,66.463,25,2010-03-18,25.217022279532586
TARA_039,18.75,18.647,66.25,66.463,270,2010-03-18,25.217022279532586
TARA_040,17.75,17.5,67.75,67.984,5,2010-03-22,37.293840948120845
TARA_040,17.75,17.5,67.75,67.984,25,2010-03-22,37.293840948120845
