latitude	longitude	depth	time	chl	fe	no3	nppv	o2	ph	phyc	po4	si	spco2	query_id
36.75	-10.5	9.82275	2009-09-01	0.09784998	0.00056505617	0.00446348	1.2682053	221.64989	8.024897	1.5139805	0.0031138503	1.0837408	41.956173	TARA_003_d9
36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902	TARA_004_d40
36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902	TARA_004_d9
36.0	-4.5	69.02168	2009-10-01	0.2943108	0.000480764	2.8534534	1.8262069	232.35071	8.061741	0.7992281	0.21886282	1.8923179	41.723934	TARA_005_d68
36.0	-4.5	9.82275	2009-10-01	0.117544524	0.0016169824	0.030487467	2.2633615	223.89598	8.025432	1.4484186	0.0008594621	1.154375	41.723934	TARA_005_d9
36.5	-4.25	35.7402	2009-10-01	0.29933727	0.00057274086	0.1353253	7.859019	255.5234	8.0680685	1.3321897	0.0359645	1.2948242	41.48447	TARA_006_d35
36.5	-4.25	9.82275	2009-10-01	0.12145892	0.0020268925	0.04185677	2.211662	223.51451	8.027377	1.4910253	0.0005817734	1.1697206	41.48447	TARA_006_d9
37.0	2.0	41.18002	2009-10-01	0.13881402	0.0008240324	0.0034034166	2.2796428	257.79953	8.070635	0.8903431	0.02528254	1.3303269	41.51764	TARA_007_d42
37.0	2.0	9.82275	2009-10-01	0.09520193	0.00240552	0.018190127	1.3117445	220.04648	8.027579	1.3601228	0.0009449372	1.1422745	41.51764	TARA_007_d9
38.0	4.0	41.18002	2009-10-01	0.05212602	0.0010058393	0.00084297877	0.22155483	246.04521	8.047337	0.7398925	0.01574218	1.2430212	41.905014	TARA_008_d41
38.0	4.0	47.21189	2009-10-01	0.045251466	0.0008357548	0.0002030986	0.1411329	254.0972	8.063884	0.58957434	0.020792285	1.2626793	41.905014	TARA_008_d45
38.0	4.0	9.82275	2009-10-01	0.08761594	0.0013970182	0.07195894	1.036447	217.27686	8.028592	1.29925	0.0006075085	1.2452751	41.905014	TARA_008_d9
39.0	5.75	53.85064	2009-10-01	0.05076566	0.00076463417	0.0038843653	0.25123605	256.06625	8.076433	0.5901111	0.014181058	1.2965264	41.40439	TARA_009_d55
39.0	5.75	61.11284	2009-10-01	0.058777887	0.0005855948	0.0005211357	0.28149775	258.73538	8.090271	0.5735381	0.016212711	1.310652	41.40439	TARA_009_d60
39.0	5.75	9.82275	2009-10-01	0.08287855	0.0014281897	0.23936404	0.90784323	218.14937	8.0372715	1.2000719	7.043053e-05	1.3232783	41.40439	TARA_009_d9
40.75	2.75	108.0303	2009-10-01	0.21253608	0.0006914612	3.6764548	0.32368648	221.87521	8.092482	0.5574923	0.2362725	1.6788396	39.616238	TARA_010_d110
40.75	2.75	69.02168	2009-10-01	0.37996963	0.0003256291	1.0550392	4.5533695	248.12704	8.11277	1.1453449	0.07104838	1.5233282	39.616238	TARA_010_d70
40.75	2.75	9.82275	2009-10-01	0.10540995	0.0017042599	0.097048886	1.3748589	220.71355	8.046184	1.3922609	0.00013959991	1.1871067	39.616238	TARA_010_d9
41.75	3.0	9.82275	2009-10-01	0.16082187	0.004848703	1.0887465	3.671584	224.32419	8.058338	1.6755295	0.0003232702	2.1949472	40.580536	TARA_011_d9
43.25	8.0	5.140361	2009-10-01	0.07643217	0.0014515226	0.7877148	0.75867474	222.40005	8.046889	1.1694498	7.097577e-05	1.4744399	40.83741	TARA_012_d5
43.25	8.0	47.21189	2009-10-01	0.04109326	0.0006660926	0.00032160178	0.12255363	259.05328	8.090192	0.53404933	0.008143134	1.3590509	40.83741	TARA_012_d50
40.0	12.75	5.140361	2009-11-01	0.0923928	0.0012055299	0.23883358	0.9635705	231.84604	8.087238	1.1049492	0.000119734934	1.5772939	36.38615	TARA_014_d5
37.5	15.5	5.140361	2009-11-01	0.08611818	0.002482497	0.12609002	1.0207578	221.57498	8.0966	1.0354209	0.00010627594	1.6825092	36.977787	TARA_016_d5
37.5	15.5	61.11284	2009-11-01	0.0372425	0.0009748789	0.00044620715	0.12760836	246.25008	8.123074	0.46103117	0.01652097	1.4950393	36.977787	TARA_016_d65
36.25	14.25	5.140361	2009-11-01	0.09130589	0.0018707622	0.021371901	1.0961399	225.17787	8.096228	1.1595476	0.00071415736	1.605102	36.808434	TARA_017_d5
36.25	14.25	86.92943	2009-11-01	0.36871427	0.001043171	2.871415	1.8659085	210.63515	8.103933	0.974876	0.22971198	2.6209455	36.808434	TARA_017_d90
35.75	14.25	5.140361	2009-11-01	0.09495165	0.0022744986	0.029083356	1.1536986	225.81604	8.097622	1.2101943	0.00025162156	1.5923468	36.530144	TARA_018_d5
35.75	14.25	61.11284	2009-11-01	0.37393808	0.0006282493	0.2762679	4.706071	243.14798	8.132683	1.2639905	0.04115779	1.7506549	36.530144	TARA_018_d60
35.75	14.25	77.61116	2009-11-01	0.3335724	0.00070050906	1.1173114	1.9850992	233.76309	8.129337	0.92822826	0.09584904	1.8668783	36.530144	TARA_018_d80
34.25	13.75	5.140361	2009-11-01	0.062993504	0.001227536	0.0041924897	0.6240759	218.96921	8.05728	0.9817283	0.0028687355	1.5406348	39.584793	TARA_019_d5
34.25	13.75	47.21189	2009-11-01	0.0497452	0.0011547824	0.0012567831	0.20355512	229.55305	8.054846	0.7788324	0.008541804	1.508783	39.584793	TARA_019_d50
34.5	15.0	5.140361	2009-11-01	0.08698754	0.0012212971	0.013186688	1.2068679	222.503	8.065166	1.153549	0.0011583404	1.5500025	38.806847	TARA_020_d5
37.5	17.25	244.8906	2009-11-01	0.014752242	0.0008140551	3.986667	0.000609635	202.93512	8.103534	0.042649146	0.25467256	2.6833973	37.091503	TARA_021_d250
37.5	17.25	5.140361	2009-11-01	0.07308684	0.0010622852	0.008574781	0.7951896	225.226	8.089584	0.9745297	0.0019723645	1.5399768	37.091503	TARA_021_d5
39.75	17.5	30.87456	2009-12-01	0.13291986	0.0014476802	0.08897515	1.8581039	230.46208	8.128987	0.911296	0.0005048981	2.3118324	33.91901	TARA_022_d30
39.75	17.5	5.140361	2009-12-01	0.13276327	0.0014506886	0.09104174	1.804468	230.50346	8.129763	0.9120758	0.00047102108	2.3141317	33.91901	TARA_022_d5
39.75	17.5	61.11284	2009-12-01	0.13866511	0.0013051457	0.049389213	1.5486231	234.05911	8.127966	0.8623373	0.0031961326	2.1655188	33.91901	TARA_022_d60
42.25	17.75	5.140361	2009-12-01	0.15912116	0.0014205839	0.40791157	1.9069121	235.0727	8.141191	0.9465043	0.00065399276	5.3279653	33.528263	TARA_023_d5
42.25	17.75	47.21189	2009-12-01	0.15978734	0.0014166455	0.40157634	1.9819385	235.07436	8.139878	0.943631	0.00075316464	5.3112154	33.528263	TARA_023_d50
42.25	17.75	53.85064	2009-12-01	0.16823512	0.0013830948	0.3500147	1.9436513	236.22481	8.138496	0.9423643	0.0012428062	5.131196	33.528263	TARA_023_d55
42.5	18.0	5.140361	2009-12-01	0.2826331	0.0042658243	0.4302631	4.395904	232.64606	8.12371	1.0743449	0.0051296814	3.82843	35.607456	TARA_024_d5
39.25	19.5	5.140361	2009-12-01	0.097730614	0.0010733332	0.016667007	1.2115042	232.02382	8.128941	0.8486461	0.0033375213	1.825168	33.729557	TARA_025_d5
39.25	19.5	47.21189	2009-12-01	0.097108774	0.0010671568	0.014217354	0.97760385	232.02402	8.127579	0.8422195	0.003474244	1.8224456	33.729557	TARA_025_d50
38.5	20.25	5.140361	2009-12-01	0.07188923	0.0013539962	0.0124128545	0.7500404	230.68819	8.125669	0.7709565	0.0070654345	1.8421031	33.968693	TARA_026_d5
34.0	32.75	5.140361	2009-12-01	0.058532983	0.00097654515	0.008176207	0.5922326	224.90224	8.092997	0.77669436	0.006443793	1.7641723	36.711384	TARA_030_d5
34.0	32.75	69.02168	2009-12-01	0.041670904	0.00085192965	0.001306028	0.1694458	236.69135	8.096568	0.49236587	0.019587317	1.6964349	36.711384	TARA_030_d70
27.25	34.75	5.140361	2010-01-01	0.07185067	0.0014057014	0.0027385792	1.0362251	206.59653	8.125181	0.79051566	0.006245586	1.5807104	32.16839	TARA_031_d5
23.5	37.25	5.140361	2010-01-01	0.07256414	0.001599254	0.0013775249	1.3176715	203.43767	8.107734	0.97496545	0.003476011	1.6606495	33.407486	TARA_032_d5
23.5	37.25	77.61116	2010-01-01	0.075202376	0.0008099135	0.00021351973	0.83003175	207.95117	8.104857	0.6386915	0.015180643	1.5412686	33.407486	TARA_032_d80
22.0	38.25	5.140361	2010-01-01	0.074507035	0.001314022	0.0014424801	1.6086437	200.73589	8.0925255	0.9578218	0.0034900645	1.6829815	34.647316	TARA_033_d5
18.5	40.0	5.140361	2010-02-01	0.13620484	0.0012762919	0.0026444294	5.119683	201.32231	8.067315	1.2241677	0.054309476	2.0015614	37.16886	TARA_034_d5
18.5	40.0	61.11284	2010-02-01	0.25005034	0.0012604997	0.008241921	6.9838114	200.62791	8.068121	1.1085845	0.053455833	1.9521383	37.16886	TARA_034_d60
20.75	63.5	16.52532	2010-03-01	0.13137735	0.00016849312	0.0007183434	4.5006914	212.88051	8.065493	1.2859931	0.2713939	1.0046091	37.732136	TARA_036_d17
20.75	63.5	19.4298	2010-03-01	0.1370773	0.00016658439	0.0005251162	4.742547	213.03117	8.067385	1.2380252	0.27453455	1.0048919	37.732136	TARA_036_d20
20.75	63.5	5.140361	2010-03-01	0.13924435	0.00017852883	0.004455591	5.433697	211.7157	8.062201	1.4747639	0.26155663	1.0111058	37.732136	TARA_036_d5
20.75	63.5	628.026	2010-03-01	0.00280238	0.00068954425	16.90032	0.0	1.0002183	7.643545	0.012842115	2.8675005	51.47475	37.732136	TARA_037_d600
19.0	64.5	26.5583	2010-03-01	0.13790742	0.00022182231	4.0549476e-05	4.718267	210.90088	8.063533	1.1727928	0.27081624	1.1131989	38.203777	TARA_038_d25
