tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	biosample_acc_num	ena_acc_num	tara_station	env_ontology	latitude	longitude	date_time	size_low_thresh	size_high_thresh	ocean_id	longhurst_code	longhurst_biome	bathy_depth	dist_to_coastline	depth	depth_min	depth_max	temperature	salinity	density	chl_a	dO2	DIN	NO2	FeT	PO4	SiO2
TARA_X000001334	ERS488257	SAMEA2657003	ERR1726953	ERX1796686	PRJEB4352	SAMEA2657003	ERS488257	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001288	ERS488249	SAMEA2619621	ERR1726597	ERX1796565	PRJEB4352	SAMEA2619621	ERS488249	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001334	ERS488257	SAMEA2657003	ERR1726879	ERX1796791	PRJEB4352	SAMEA2657003	ERS488257	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	180	2000	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001286	ERS488251	SAMEA2619623	ERR1700895	ERX1771178	PRJEB4352	SAMEA2619623	ERS488251	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	5	20	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001338	ERS488262	SAMEA2656955	ERR1726642	ERX1796593	PRJEB4352	SAMEA2656955	ERS488262	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001338	ERS488262	SAMEA2656955	ERR1726791	ERX1796510	PRJEB4352	SAMEA2656955	ERS488262	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001316	ERS488253	SAMEA2619625	ERR599383	ERX556306	PRJEB4419	SAMEA2619625	ERS488253	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	<0.22	0.22	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	11	4.748140706024726	9	3	15	19.93457	38.054675	26.748625	0.146999	225.57199096679688	0.024274436	0.031807316	0.001387775	2.9701032326556e-4	0.01282392255961895
TARA_X000001343	ERS488267	SAMEA2730644	ERR4691762	ERX4612871	PRJEB4352	SAMEA2730644	ERS488267	TARA_012	[SRF] surface water layer (ENVO:00010504)	43.348	7.899	2009-10-11	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2447	46.21962950613453	5	3	7	22.886258	38.128183	26.341875	0.180403	207.04875	0.021351596	0.019658985	0.001387764	3.115780709777e-4	0.00990166049450635
TARA_X000001347	ERS488272	SAMEA2730674	ERR4691761	ERX4612870	PRJEB4352	SAMEA2730674	ERS488272	TARA_012	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	43.348	7.899	2009-10-11	20	180	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	Westerlies Biome	2447	46.21962950613453	50	48	52	13.541833	38.330192	28.862367	0.199886	198.301417	0.021351596	0.019658985	0.001387764	5.07678530993865e-4	0.005336129572242495
TARA_N000000120	ERS489351	SAMEA2730864	ERR4691704	ERX4612813	PRJEB4352	SAMEA2730864	ERS489351	TARA_049	[SRF] surface water layer (ENVO:00010504)	-16.808	59.504	2010-04-23	20	180	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]	Trades Biome	24	980.6117531421393	5	3	7	28.2729	34.4863	21.9195	0.104797	192.5495	0.062	0.006	0.001104251	0.096	2.436
