tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	latitude	longitude	depth	date_time	lat_dw	lon_dw	depth_dw	time_dw	dist_diff_km	depth_diff_m	time_diff_hr	fe_dw3d	po4_dw3d	no3_dw3d	sio2_dw3d	do2_dw3d	phytoplankton_diversity_shannon_index	phytoplankton	zooplankton	chla_dw3d	nppv_dw3d	irradiance_reflectance_waveband_3	irradiance_reflectance_waveband_7	diatom	coccolithophore	mixotrophic_dinoflagellate	picoeukaryote	picoprokaryote
TARA_Y200000001	ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	TARA_003	36.672	-10.421	9	2009-09-13	36.75	-10.25	5	2009-09-14T00:00:00Z	17.557456697894136	4	1	0.00103687471710145	6.3355662859976e-4	12.678135871887209	0.00556691968813538	224.8512420654297	1.9160794019699097	0.6470392346382141	1.3390542268753052	0.03827055171132088	5.6041589147071136e-8	0.0597987174987793	0.0093476390466094	9.957744623534e-5	0.02716465294361114	0.00502819567918777	0.13815225660800934	0.28223201632499695
TARA_X000000323	ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_X000000325	ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_X000000357	ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_Y200000002	ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_X000000263	ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_X000000263	ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14T00:00:00Z	27.25516328352953	4	1	0.00105250370688736	6.3146441243588e-4	12.702473640441896	0.00539130112156271	223.12594604492188	1.9754693508148191	0.6765692830085754	1.4520219564437866	0.04096315056085586	2.41048633142e-6	0.05689426138997078	0.01027336902916431	9.7955856472253e-4	0.03151483833789825	0.0096231298521161	0.14152947068214417	0.2945338785648346
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000408	ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000408	ERS487956	SAMEA2619419	ERR868437	ERX948025	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000408	ERS487956	SAMEA2619419	ERR868510	ERX947959	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000368	ERS487936	SAMEA2619399	ERR598950	ERX556067	PRJEB1787	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000368	ERS487936	SAMEA2619399	ERR599095	ERX555913	PRJEB1787	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14T00:00:00Z	27.25516328352953	5	1	0.00100032519549131	0.00227744691073894	11.89678192138672	0.00820120051503181	256.0237121582031	2.6254689693450928	1.0762003660202026	1.6991218328475952	0.097169928252697	2.41048633142e-6	0.05689426138997078	0.01027336902916431	0.01432976312935352	0.20949456095695496	0.13429518043994904	0.19955092668533325	0.3253236413002014
TARA_X000000521	ERS487990	SAMEA2730820	ERR4691726	ERX4612835	PRJEB4352	TARA_005	36.03	-4.405	9	2009-09-20	36.25	-4.25	5	2009-09-20T00:00:00Z	28.17694846058984	4	0	0.00104595744051039	7.072037551552e-4	12.510894775390623	0.00680838339030742	228.59974670410156	2.178699016571045	0.7437302470207214	1.4779434204101562	0.04901054874062538	3.2139487871063466e-7	0.05705496296286583	0.00988003797829151	0.00810228381305933	0.0613960362970829	0.02459593303501606	0.1542850285768509	0.3043513000011444
TARA_X000000488	ERS487982	SAMEA2619443	ERR868497	ERX947980	PRJEB4352	TARA_005	36.03	-4.405	9	2009-09-20	36.25	-4.25	5	2009-09-20T00:00:00Z	28.17694846058984	4	0	0.00104595744051039	7.072037551552e-4	12.510894775390623	0.00680838339030742	228.59974670410156	2.178699016571045	0.7437302470207214	1.4779434204101562	0.04901054874062538	3.2139487871063466e-7	0.05705496296286583	0.00988003797829151	0.00810228381305933	0.0613960362970829	0.02459593303501606	0.1542850285768509	0.3043513000011444
