tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	latitude	longitude	depth	date_time	lat_dw	lon_dw	depth_dw	time_dw	DIC_darwin_clim	NH4_darwin_clim	NO2_darwin_clim	NO3_darwin_clim	PO4_darwin_clim	SiO2_darwin_clim	FeT_darwin_clim	DOC_darwin_clim	DON_darwin_clim	DOP_darwin_clim	DOFe_darwin_clim	POC_darwin_clim	PON_darwin_clim	POP_darwin_clim	POSi_darwin_clim	POFe_darwin_clim	PIC_darwin_clim	ALK_darwin_clim	O2_darwin_clim	CDOM_darwin_clim	prokaryote_c01_darwin_clim	prokaryote_c02_darwin_clim	picoeukaryote_c03_darwin_clim	picoeukaryote_c04_darwin_clim	cocco_c05_darwin_clim	cocco_c06_darwin_clim	cocco_c07_darwin_clim	cocco_c08_darwin_clim	cocco_c09_darwin_clim	diazotroph_c10_darwin_clim	diazotroph_c11_darwin_clim	diazotroph_c12_darwin_clim	diazotroph_c13_darwin_clim	diazotroph_c14_darwin_clim	diatom_c15_darwin_clim	diatom_c16_darwin_clim	diatom_c17_darwin_clim	diatom_c18_darwin_clim	diatom_c19_darwin_clim	diatom_c20_darwin_clim	diatom_c21_darwin_clim	diatom_c22_darwin_clim	diatom_c23_darwin_clim	diatom_c24_darwin_clim	diatom_c25_darwin_clim	dinoflagellate_c26_darwin_clim	dinoflagellate_c27_darwin_clim	dinoflagellate_c28_darwin_clim	dinoflagellate_c29_darwin_clim	dinoflagellate_c30_darwin_clim	dinoflagellate_c31_darwin_clim	dinoflagellate_c32_darwin_clim	dinoflagellate_c33_darwin_clim	dinoflagellate_c34_darwin_clim	dinoflagellate_c35_darwin_clim	zooplankton_c36_darwin_clim	zooplankton_c37_darwin_clim	zooplankton_c38_darwin_clim	zooplankton_c39_darwin_clim	zooplankton_c40_darwin_clim	zooplankton_c41_darwin_clim	zooplankton_c42_darwin_clim	zooplankton_c43_darwin_clim	zooplankton_c44_darwin_clim	zooplankton_c45_darwin_clim	zooplankton_c46_darwin_clim	zooplankton_c47_darwin_clim	zooplankton_c48_darwin_clim	zooplankton_c49_darwin_clim	zooplankton_c50_darwin_clim	zooplankton_c51_darwin_clim	chl01_darwin_clim	chl02_darwin_clim	chl03_darwin_clim	chl04_darwin_clim	chl05_darwin_clim	chl06_darwin_clim	chl07_darwin_clim	chl08_darwin_clim	chl09_darwin_clim	chl10_darwin_clim	chl11_darwin_clim	chl12_darwin_clim	chl13_darwin_clim	chl14_darwin_clim	chl15_darwin_clim	chl16_darwin_clim	chl17_darwin_clim	chl18_darwin_clim	chl19_darwin_clim	chl20_darwin_clim	chl21_darwin_clim	chl22_darwin_clim	chl23_darwin_clim	chl24_darwin_clim	chl25_darwin_clim	chl26_darwin_clim	chl27_darwin_clim	chl28_darwin_clim	chl29_darwin_clim	chl30_darwin_clim	chl31_darwin_clim	chl32_darwin_clim	chl33_darwin_clim	chl34_darwin_clim	chl35_darwin_clim
TARA_Y200000001	ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	TARA_003	36.672	-10.421	9	2009-09-13	36.75	-10.25	5	2009-09-14	1827.7291	0.11678713	1.0114117	14.747355	0.043903183	0.0730186	0.0010473486	5.234413	0.8288606	0.04362011	5.9260776e-5	0.26108035	0.0416449	0.0021756697	0.002724569	3.2264008e-6	0.28665859	2044.0165	244.56812	3.7543045e-4	0.098562874	0.092289664	0.091045305000000007	0.06426531	0.13736938	0.11099202	0.0765392	0.059203647	0.0443168	0.043309983	0.038997553	0.021728529	0.0028760987	0.019650012	0.020124638	0.0052931104	6.2802795e-4	2.1635551e-5	7.690872e-7	-2.501069e-8	-6.66686e-8	-8.808338e-9	-4.53938e-9	-3.1973416e-10	-4.2122362e-14	0.08902781	0.075154506	0.056684665	0.023115255	0.007149382	2.707887e-4	2.464788e-6	-2.944121e-7	-1.3066089e-8	-2.2332547e-9	0.009683689	0.03825739	0.05960239	0.08776402	0.17937255	0.1408156	0.16962613000000001	0.11425394	0.058275606	0.03179428	0.057731446	0.023304597	0.0227471	0.008271292	1.5973026e-5	-7.5560264e-10	0.015271384	0.014139864	0.014245437	0.010285757	0.020199256	0.01611728	0.011004382	0.008422851	0.006226238	0.0064947912	0.0057987045	0.0032099574	4.1960174e-4	0.0030928687	0.0046008965	0.0011712761	1.3257535e-4	4.097466e-6	2.0588711e-8	-9.16967e-9	-2.5578672e-8	-2.7629619e-9	-1.2924415e-9	-8.022719e-11	-1.28594424e-14	0.013094237	0.010899073	0.008183059	0.0033352005	9.949583e-4	3.7676607e-5	3.0941985e-7	-7.424059e-8	-2.285048e-9	-3.8607995e-10
TARA_X000000323	ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_X000000325	ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_X000000357	ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_Y200000002	ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_X000000263	ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_X000000263	ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	TARA_004	36.563	-6.553	9	2009-09-15	36.75	-6.75	5	2009-09-14	1826.8649	0.108682886	1.0652343	14.881246	0.038675036	0.07631324	0.0010087173	5.361291	0.85237974	0.04467742	6.130721e-5	0.31361607	0.050760794	0.0026134672	0.0035044267	4.0000155e-6	0.36866814	2043.565	244.95148	3.6696153e-4	0.1027816	0.09520732	0.09437771	0.066331536	0.13920599	0.112839855	0.076504424	0.05836158	0.043806218	0.046290945	0.042680677	0.021976164	0.0038330166	0.018143011	0.019771304	0.0066443775	0.0011917313	1.10162015e-4	6.08082e-6	-2.5318977e-8	-6.7790864e-8	-7.3886306e-9	-3.7067605e-9	-2.5614919e-10	-3.4046947e-14	0.09030215	0.074563526	0.0558792	0.024335695	0.008439876	3.140503e-4	1.4063147e-6	-3.000395e-7	-1.2205996e-8	-1.9919462e-9	0.01264725	0.04391195	0.065941475	0.09595867	0.19197896	0.14611039	0.17572972	0.117763996	0.05738297	0.028460903	0.054780588	0.018822312	0.01849124	0.005694095	5.180687e-6	-7.346491e-10	0.015805293	0.01443128	0.0146300625	0.010521749	0.02015973	0.016095284	0.010746099	0.008058227	0.005937293	0.0068936953	0.006312031	0.003227784	5.551137e-4	0.0028105183	0.004491262	0.0014711479	2.533243e-4	2.1087395e-5	7.213716e-7	-9.1873495e-9	-2.5936759e-8	-2.319184e-9	-1.0540161e-9	-6.3673004e-11	-1.0381167e-14	0.013011501	0.010518259	0.007792924	0.0033807727	0.0011275292	4.1482566e-5	1.5577848e-7	-7.5212725e-8	-2.0900635e-9	-3.445887e-10
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14	1826.9928	0.10838365	1.0636252	14.889397	0.039339762	0.07706218	0.0010087808	5.353568	0.8511032	0.044613063	6.12058e-5	0.3411143	0.055169933	0.0028426193	0.0038399955	4.3432656e-6	0.41540518	2043.6194	244.85162	3.73034e-4	0.099543974	0.09140495	0.091001816	0.063936494	0.1336232	0.10891804	0.07420275	0.05687482	0.042908404	0.04471818	0.04141321	0.021406861	0.0037552642	0.017804764	0.018369095	0.0062428666	0.0011377931	1.0687117e-4	6.04522e-6	-2.5289454e-8	-6.7712584e-8	-7.383739e-9	-3.7045051e-9	-2.559819e-10	-3.4025693e-14	0.087128066	0.07230833	0.054490346	0.023851704	0.008309609	3.1139055e-4	1.4073264e-6	-2.998104e-7	-1.2203583e-8	-1.9913182e-9	0.012596566	0.043744694	0.06573593	0.095679335	0.19128229	0.14569366	0.17527854	0.117530756	0.057297904	0.028416824	0.05470372	0.018791467	0.018459994	0.0056816833	5.1743154e-6	-7.3447876e-10	0.015664678	0.014269593	0.014433339	0.010359135	0.019884933	0.015977357	0.010733931	0.0081021115	0.0060123093	0.0068545667	0.0063042403	0.0032386698	5.606953e-4	0.00283669	0.004292015	0.001423454	2.49323e-4	2.1086096e-5	7.2587216e-7	-9.176063e-9	-2.5906973e-8	-2.3176454e-9	-1.053371e-9	-6.362979e-11	-1.03746484e-14	0.012901248	0.010504708	0.007842529	0.0034284864	0.0011534097	4.2845717e-5	1.670754e-7	-7.515698e-8	-2.0895923e-9	-3.4448017e-10
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14	1826.9928	0.10838365	1.0636252	14.889397	0.039339762	0.07706218	0.0010087808	5.353568	0.8511032	0.044613063	6.12058e-5	0.3411143	0.055169933	0.0028426193	0.0038399955	4.3432656e-6	0.41540518	2043.6194	244.85162	3.73034e-4	0.099543974	0.09140495	0.091001816	0.063936494	0.1336232	0.10891804	0.07420275	0.05687482	0.042908404	0.04471818	0.04141321	0.021406861	0.0037552642	0.017804764	0.018369095	0.0062428666	0.0011377931	1.0687117e-4	6.04522e-6	-2.5289454e-8	-6.7712584e-8	-7.383739e-9	-3.7045051e-9	-2.559819e-10	-3.4025693e-14	0.087128066	0.07230833	0.054490346	0.023851704	0.008309609	3.1139055e-4	1.4073264e-6	-2.998104e-7	-1.2203583e-8	-1.9913182e-9	0.012596566	0.043744694	0.06573593	0.095679335	0.19128229	0.14569366	0.17527854	0.117530756	0.057297904	0.028416824	0.05470372	0.018791467	0.018459994	0.0056816833	5.1743154e-6	-7.3447876e-10	0.015664678	0.014269593	0.014433339	0.010359135	0.019884933	0.015977357	0.010733931	0.0081021115	0.0060123093	0.0068545667	0.0063042403	0.0032386698	5.606953e-4	0.00283669	0.004292015	0.001423454	2.49323e-4	2.1086096e-5	7.2587216e-7	-9.176063e-9	-2.5906973e-8	-2.3176454e-9	-1.053371e-9	-6.362979e-11	-1.03746484e-14	0.012901248	0.010504708	0.007842529	0.0034284864	0.0011534097	4.2845717e-5	1.670754e-7	-7.515698e-8	-2.0895923e-9	-3.4448017e-10
TARA_X000000408	ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	TARA_004	36.563	-6.553	40	2009-09-15	36.75	-6.75	35	2009-09-14	1826.9928	0.10838365	1.0636252	14.889397	0.039339762	0.07706218	0.0010087808	5.353568	0.8511032	0.044613063	6.12058e-5	0.3411143	0.055169933	0.0028426193	0.0038399955	4.3432656e-6	0.41540518	2043.6194	244.85162	3.73034e-4	0.099543974	0.09140495	0.091001816	0.063936494	0.1336232	0.10891804	0.07420275	0.05687482	0.042908404	0.04471818	0.04141321	0.021406861	0.0037552642	0.017804764	0.018369095	0.0062428666	0.0011377931	1.0687117e-4	6.04522e-6	-2.5289454e-8	-6.7712584e-8	-7.383739e-9	-3.7045051e-9	-2.559819e-10	-3.4025693e-14	0.087128066	0.07230833	0.054490346	0.023851704	0.008309609	3.1139055e-4	1.4073264e-6	-2.998104e-7	-1.2203583e-8	-1.9913182e-9	0.012596566	0.043744694	0.06573593	0.095679335	0.19128229	0.14569366	0.17527854	0.117530756	0.057297904	0.028416824	0.05470372	0.018791467	0.018459994	0.0056816833	5.1743154e-6	-7.3447876e-10	0.015664678	0.014269593	0.014433339	0.010359135	0.019884933	0.015977357	0.010733931	0.0081021115	0.0060123093	0.0068545667	0.0063042403	0.0032386698	5.606953e-4	0.00283669	0.004292015	0.001423454	2.49323e-4	2.1086096e-5	7.2587216e-7	-9.176063e-9	-2.5906973e-8	-2.3176454e-9	-1.053371e-9	-6.362979e-11	-1.03746484e-14	0.012901248	0.010504708	0.007842529	0.0034284864	0.0011534097	4.2845717e-5	1.670754e-7	-7.515698e-8	-2.0895923e-9	-3.4448017e-10
