tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	env_ontology	latitude	longitude	date_time	depth	depth_min	depth_max	size_low_thresh	size_high_thresh	ocean_id	longhurst_biome	longhurst_code	bathy_depth	dist_to_coastline	density	temperature	salinity	do2	chla	no3	po4	sio2	fe_ps	nppv_ps
TARA_X000000525	ERS487994	SAMEA2730824	ERR1726936	ERX1796710	PRJEB4352	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	68	63	73	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	28.903825	14.1012	37.6166	232.35071	0.089	1.8925	0.078	1.146	4.80764e-4	1.8262069
TARA_X000000567	ERS488005	SAMEA2619456	ERR868373	ERX947972	PRJEB4352	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	68	63	73	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	28.903825	14.1012	37.6166	232.35071	0.089	1.8925	0.078	1.146	4.80764e-4	1.8262069
TARA_X000001334	ERS488257	SAMEA2657003	ERR1726953	ERX1796686	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001288	ERS488249	SAMEA2619621	ERR1726597	ERX1796565	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001334	ERS488257	SAMEA2657003	ERR1726879	ERX1796791	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001286	ERS488251	SAMEA2619623	ERR1700895	ERX1771178	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	5	20	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001338	ERS488262	SAMEA2656955	ERR1726642	ERX1796593	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	20	180	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001338	ERS488262	SAMEA2656955	ERR1726791	ERX1796510	PRJEB4352	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	20	180	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_X000001316	ERS488253	SAMEA2619625	ERR599383	ERX556306	PRJEB4419	TARA_011	[SRF] surface water layer (ENVO:00010504)	41.666	2.798	2009-10-04	9	3	15	<0.22	0.22	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11	4.748140706024726	25.85157	18.82554	38.100813	224.32419	0.16082187	1.0887465	3.232702e-4	2.1949472	0.004848703	3.671584
TARA_N000000483	ERS489896	SAMEA2620775	ERR4691758	ERX4612867	PRJEB4352	TARA_062	[SRF] surface water layer (ENVO:00010504)	-22.339	40.182	2010-07-03	5	3	7	0.8	5	(IO) Indian Ocean [MRGID:1904]	Coastal Biome	(EAFR) Eastern Africa Coastal Province [MRGID:21473]	2324	317.8328496580717	24.5391	23.6621	35.42905	210.46686	0.08060335	0.0012875499	0.011318755	2.0520618	5.503748e-4	1.4022995
