tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	env_ontology	latitude	longitude	date_time	depth	depth_min	depth_max	size_low_thresh	size_high_thresh	ocean_id	longhurst_biome	longhurst_code	bathy_depth	dist_to_coastline	density_ctd	temperature_ctd	salinity_ctd	do2_ctd	chla_bot_ctd	chla_bot	chla_ctd	chla_ctd_cal	no3_bot_ctd	no3_bot	no3_ctd	no2_bot	po4_bot	sio2_bot	fet_dw_pg	din_dw_pg	no2_dw_pg
TARA_Y200000001	ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	TARA_003	[SRF] surface water layer (ENVO:00010504)	36.672	-10.421	2009-09-13	9	3	15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	3750	137.3332628843415	25.6802	21.8185	36.84755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001387426	0.008996706	0.049836452
TARA_X000000323	ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000325	ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000357	ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	180	2000	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_Y200000002	ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000263	ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000263	ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	TARA_004	[SRF] surface water layer (ENVO:00010504)	36.563	-6.553	2009-09-15	9	3	15	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	25.909909	20.238088	36.599199	NA	0.20325963624353835	NA	0.122609	0.20325963624353835	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000408	ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000408	ERS487956	SAMEA2619419	ERR868437	ERX948025	PRJEB4352	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	5	20	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000408	ERS487956	SAMEA2619419	ERR868510	ERX947959	PRJEB4352	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	0.8	5	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000368	ERS487936	SAMEA2619399	ERR598950	ERX556067	PRJEB1787	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000368	ERS487936	SAMEA2619399	ERR599095	ERX555913	PRJEB1787	TARA_004	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.563	-6.553	2009-09-15	40	35	45	0.22	1.6	(NAO) North Atlantic Ocean [MRGID:1912]	Westerlies Biome	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	56	18.313620273057403	26.8866	16.3584	36.5811	NA	0.6421271859252828	NA	0.66096	0.6421271859252828	NA	NA	NA	NA	NA	NA	0.001387698	0.008067715	0.044259438
TARA_X000000521	ERS487990	SAMEA2730820	ERR4691726	ERX4612835	PRJEB4352	TARA_005	[SRF] surface water layer (ENVO:00010504)	36.03	-4.405	2009-09-20	9	3	15	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	26.1051	20.730517	37.05135	NA	0.82475	0.82475	0.827797	0.7650298470661748	0.3435	0.3435	NA	0.0215	0.0925	0.891375	0.001387427	0.009584777	0.026567896
TARA_X000000488	ERS487982	SAMEA2619443	ERR868497	ERX947980	PRJEB4352	TARA_005	[SRF] surface water layer (ENVO:00010504)	36.03	-4.405	2009-09-20	9	3	15	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	26.1051	20.730517	37.05135	NA	0.82475	0.82475	0.827797	0.7650298470661748	0.3435	0.3435	NA	0.0215	0.0925	0.891375	0.001387427	0.009584777	0.026567896
TARA_X000000525	ERS487994	SAMEA2730824	ERR1726936	ERX1796710	PRJEB4352	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	68	63	73	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	NA	NA	NA	NA	0.089	0.089	0.33527199999999996	0.3895708552926982	1.8925	1.8925	NA	0.3805	0.078	1.146	0.001387427	0.009584777	0.026567896
TARA_X000000567	ERS488005	SAMEA2619456	ERR868373	ERX947972	PRJEB4352	TARA_005	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36.03	-4.405	2009-09-20	68	63	73	0.8	5	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	1275	57.25366636019501	NA	NA	NA	NA	0.089	0.089	0.33527199999999996	0.3895708552926982	1.8925	1.8925	NA	0.3805	0.078	1.146	0.001387427	0.009584777	0.026567896
TARA_X000000655	ERS488033	SAMEA2730531	ERR1726887	ERX1796647	PRJEB4352	TARA_006	[SRF] surface water layer (ENVO:00010504)	36.529	-4.251	2009-09-21	9	3	15	180	2000	(MS) Mediterranean Sea [MRGID:1905]	Westerlies Biome	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	386	16.331876973771145	26.7997	18.589717	37.212883	NA	0.82475	0.82475	2.5237100000000003	1.9284065179502003	0.3435	0.3435	NA	0.0215	0.0925	0.891375	0.001383199	0.073991253	0.030633541
