tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	biosample_acc_num	ena_acc_num	tara_station	latitude	longitude	depth	date_time	lat_ps	lon_ps	depth_ps	time_ps	chl	fe	no3	nppv	o2	ph	phyc	po4	si	spco2
TARA_Y200000001	ERS487894	SAMEA2619371	ERR164424	ERX140299	PRJEB1788	SAMEA2619371	ERS487894	TARA_003	36.672	-10.421	9	2009-09-13	36.75	-10.5	9.82275	2009-09-01	0.09784998	5.6505617e-4	0.00446348	1.2682053	221.64989	8.024897	1.5139805	0.0031138503	1.0837408	41.956173
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700900	ERX1771180	PRJEB4352	SAMEA2619421	ERS487958	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000408	ERS487956	SAMEA2619419	ERR868435	ERX948051	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000408	ERS487956	SAMEA2619419	ERR868437	ERX948025	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000410	ERS487958	SAMEA2619421	ERR1700908	ERX1771198	PRJEB4352	SAMEA2619421	ERS487958	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000408	ERS487956	SAMEA2619419	ERR868510	ERX947959	PRJEB4352	SAMEA2619419	ERS487956	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000368	ERS487936	SAMEA2619399	ERR598950	ERX556067	PRJEB1787	SAMEA2619399	ERS487936	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000368	ERS487936	SAMEA2619399	ERR599095	ERX555913	PRJEB1787	SAMEA2619399	ERS487936	TARA_004	36.563	-6.553	40	2009-09-15	36.5	-6.5	41.18002	2009-09-01	0.57592064	0.0014609667	3.8336768	10.392266	232.80954	8.043791	1.7450526	0.3568463	2.956569	43.462902
TARA_X000000323	ERS487919	SAMEA2619396	ERR868369	ERX948032	PRJEB4352	SAMEA2619396	ERS487919	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
TARA_X000000325	ERS487921	SAMEA2619398	ERR1726542	ERX1796512	PRJEB4352	SAMEA2619398	ERS487921	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
TARA_X000000357	ERS487930	SAMEA2657059	ERR1726827	ERX1796900	PRJEB4352	SAMEA2657059	ERS487930	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
TARA_Y200000002	ERS487911	SAMEA2619388	ERR164420	ERX140295	PRJEB1788	SAMEA2619388	ERS487911	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
TARA_X000000263	ERS487899	SAMEA2619376	ERR599003	ERX556024	PRJEB1787	SAMEA2619376	ERS487899	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
TARA_X000000263	ERS487899	SAMEA2619376	ERR598955	ERX555964	PRJEB1787	SAMEA2619376	ERS487899	TARA_004	36.563	-6.553	9	2009-09-15	36.5	-6.5	9.82275	2009-09-01	0.21148103	0.002481382	0.022514647	7.167699	222.2707	8.007508	2.2453637	0.009549343	1.278126	43.462902
